AC ,State ,Principal City/Cities
201,NJ ,Hackensack; Jersey City
202,DC ,Washington DC
203,CT ,New Haven; Bridgeport; NYC suburbs
204,MB ,entire province
205,AL ,Birmingham; Tuscaloosa
206,WA ,Seattle
207,ME ,entire state
208,ID ,entire state
209,CA ,Modesto; Stockton
210,TX ,San Antonio
212,NY ,New York City: Manhattan
213,CA ,Los Angeles/inner downtown
214,TX ,Dallas and suburbs
215,PA ,Philadelphia
216,OH ,Cleveland
217,IL ,Champaign; Springfield
218,MN ,Duluth; northern
219,IN ,Gary; northwestern
224,IL ,north suburbs of Chicago
225,LA ,Baton Rouge
226,ON ,London; Windsor; southern
227,— ,withdrawn
228,MS ,Biloxi; Gulfport; extreme southern tip
229,GA ,Albany; Valdosta; southwestern
231,MI ,Muskegon; Traverse City
234,OH ,Akron; Canton; Youngstown
236,BC ,entire province
239,FL ,Ft. Myers; Naples
240,MD ,Frederick; Washington DC suburbs
242,— ,Bahamas (Atlantic Ocean)
246,— ,Barbados (Caribbean)
248,MI ,Pontiac; Troy; NW Detroit suburbs
249,ON ,Sudbury
250,BC ,Victoria; Kamloops
251,AL ,Mobile
252,NC ,Greenville; Rocky Mount; Cape Hatteras
253,WA ,Tacoma; southern Seattle area
254,TX ,Waco
256,AL ,Huntsville
260,IN ,Ft. Wayne
262,WI ,Racine; Waukesha; West Bend
264,— ,Anguilla (Caribbean)
267,PA ,Philadelphia
268,— ,Antigua & Barbuda
269,MI ,Kalamazoo; southwestern
270,KY ,Bowling Green; Hopkinsville
272,PA ,Scranton; Wilkes-Barre
274,WI ,Green Bay
276,VA ,Bristol; southwestern
278,— ,withdrawn
281,TX ,Houston and suburbs
283,— ,withdrawn
284,— ,British Virgin Islands (Caribbean)
289,ON ,Hamilton; Toronto suburbs
301,MD ,Frederick; Washington DC suburbs
302,DE ,entire state
303,CO ,Denver
304,WV ,entire state
305,FL ,Miami; Key West
306,SK ,entire province
307,WY ,entire state
308,NE ,North Platte; Grand Island; western
309,IL ,Bloomington; Peoria; Moline/Quad Cities
310,CA ,Los Angeles area: Santa Monica; Torrance
312,IL ,Chicago/downtown only
313,MI ,Detroit
314,MO ,St. Louis
315,NY ,Syracuse; Utica; north central
316,KS ,Wichita
317,IN ,Indianapolis
318,LA ,Shreveport; Alexandria; northern
319,IA ,Cedar Rapids; Waterloo; Burlington
320,MN ,St. Cloud; central and west central
321,FL ,Melbourne; Orlando
323,CA ,Los Angeles/outer downtown
325,TX ,Abilene; San Angelo
327,AR ,Jonesboro; Pine Bluff; most of the state
330,OH ,Akron; Canton; Youngstown
331,IL ,Hinsdale; some W. suburbs of Chicago
334,AL ,Montgomery; southeastern
336,NC ,Greensboro; High Point; Winston-Salem
337,LA ,Lafayette; Lake Charles; southwestern
339,MA ,Lexington; Boston suburbs
340,VI ,U.S. Virgin Islands
341,— ,withdrawn
343,ON ,Ottawa; eastern
345,— ,Cayman Islands (Caribbean)
346,TX ,Houston and suburbs
347,NY ,NYC: Bronx; Brooklyn; Queens; Staten Island
351,MA ,Lowell; Leominster; northeastern
352,FL ,Gainesville; Ocala
356,— ,withdrawn
360,WA ,Bellingham; Olympia; Vancouver
361,TX ,Corpus Christi
364,KY ,Bowling Green; Hopkinsville
365,ON ,Hamilton; Toronto suburbs
369,— ,withdrawn
380,— ,withdrawn
385,UT ,Salt Lake City; Ogden; Provo
386,FL ,Daytona Beach; Lake City
401,RI ,entire state
402,NE ,Omaha; Lincoln; eastern
403,AB ,Calgary; southern third of province
404,GA ,Atlanta
405,OK ,Oklahoma City; central
406,MT ,entire state
407,FL ,Orlando
408,CA ,San José; Silicon Valley
409,TX ,Galveston; Beaumont
410,MD ,Baltimore; northern and eastern
412,PA ,Pittsburgh
413,MA ,Springfield; western
414,WI ,Milwaukee
415,CA ,San Francisco; Marin County
416,ON ,Toronto
417,MO ,Springfield; Joplin; southwestern
418,QC ,Québec; Gaspé; southeast/sud‑est
419,OH ,Toledo; northwestern
423,TN ,Chattanooga; Johnson City
424,CA ,Los Angeles area: Santa Monica; Torrance
425,WA ,Everett; Redmond; northern/eastern Seattle area
430,TX ,Tyler; Texarkana; northeastern
431,MB ,entire province
432,TX ,Midland; Odessa; Big Bend
434,VA ,Charlottesville; Lynchburg; Emporia
435,UT ,Logan; most of the state
437,ON ,city of Toronto
438,QC ,Montréal; Île-Perrot
440,OH ,Lorain; Ashtabula
441,— ,Bermuda
442,CA ,Escondido; Palm Springs; Death Valley
443,MD ,Baltimore; northern and eastern
445,— ,withdrawn
447,IL ,Champaign; Springfield
450,QC ,Laval; Longueuil; suburbs/banlieues of Montréal
458,OR ,Eugene; most of the state
464,— ,withdrawn
469,TX ,Dallas and suburbs
470,GA ,Atlanta and suburbs
473,— ,Grenada (Caribbean)
475,CT ,New Haven; Bridgeport; NYC suburbs
478,GA ,Macon; central
479,AR ,Ft. Smith; Fayetteville; northwestern
480,AZ ,Scottsdale; east Phoenix area
